Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.393,-0.6125,0,0.27828,0.456108,1,0.6125
0.394,-0.612174,0,0.278735,0.455041,1,0.612174
0.395,-0.611848,0,0.27919,0.453974,1,0.611848
0.396,-0.611522,0,0.279643,0.452909,1,0.611522
0.397,-0.611196,0,0.280096,0.451846,1,0.611196
0.398,-0.61087,0,0.280547,0.450783,1,0.61087
0.399,-0.610544,0,0.280997,0.449723,1,0.610544
0.4,-0.610217,0,0.281447,0.448663,1,0.610217
0.401,-0.609891,0,0.281895,0.447605,1,0.609891
0.402,-0.609564,0,0.282342,0.446549,1,0.609564
0.403,-0.609238,0,0.282788,0.445493,1,0.609238
0.404,-0.608912,0,0.283233,0.444439,1,0.608912
0.405,-0.608585,0,0.283677,0.443387,1,0.608585
0.406,-0.608258,0,0.28412,0.442336,1,0.608258
0.407,-0.607932,0,0.284561,0.441286,1,0.607932
0.408,-0.607605,0,0.285002,0.440238,1,0.607605
0.409,-0.607278,0,0.285442,0.439191,1,0.607278
0.41,-0.606952,0,0.285881,0.438145,1,0.606952
0.411,-0.606625,0,0.286318,0.437101,1,0.606625
0.412,-0.606298,0,0.286755,0.436058,1,0.606298
0.413,-0.605971,0,0.28719,0.435016,1,0.605971
0.414,-0.605644,0,0.287625,0.433976,1,0.605644
0.415,-0.605317,0,0.288058,0.432938,1,0.605317
0.416,-0.60499,0,0.288491,0.4319,1,0.60499
0.417,-0.604663,0,0.288922,0.430864,1,0.604663
0.418,-0.604336,0,0.289352,0.429829,1,0.604336
0.419,-0.604009,0,0.289782,0.428796,1,0.604009
0.42,-0.603682,0,0.29021,0.427764,1,0.603682
0.421,-0.603355,0,0.290637,0.426734,1,0.603355
0.422,-0.603028,0,0.291063,0.425704,1,0.603028
0.423,-0.602701,0,0.291489,0.424676,1,0.602701
0.424,-0.602373,0,0.291913,0.42365,1,0.602373
0.425,-0.602046,0,0.292336,0.422625,1,0.602046
0.426,-0.601719,0,0.292758,0.421601,1,0.601719
0.427,-0.601391,0,0.293179,0.420578,1,0.601391
0.428,-0.601064,0,0.293599,0.419557,1,0.601064
0.429,-0.600736,0,0.294018,0.418537,1,0.600736
0.43,-0.600409,0,0.294436,0.417519,1,0.600409
0.431,-0.600081,0,0.294853,0.416502,1,0.600081
0.432,-0.599754,0,0.295269,0.415486,1,0.599754
0.433,-0.599426,0,0.295684,0.414472,1,0.599426
0.434,-0.599099,0,0.296098,0.413459,1,0.599099
0.435,-0.598771,0,0.296511,0.412447,1,0.598771
0.436,-0.598443,0,0.296923,0.411437,1,0.598443
0.437,-0.598116,0,0.297334,0.410428,1,0.598116
0.438,-0.597788,0,0.297744,0.40942,1,0.597788
0.439,-0.59746,0,0.298153,0.408413,1,0.59746
0.44,-0.597132,0,0.298561,0.407408,1,0.597132
0.441,-0.596804,0,0.298968,0.406405,1,0.596804
0.442,-0.596477,0,0.299374,0.405402,1,0.596477
0.443,-0.596149,0,0.299778,0.404401,1,0.596149
0.444,-0.595821,0,0.300182,0.403402,1,0.595821
0.445,-0.595493,0,0.300585,0.402403,1,0.595493
0.446,-0.595165,0,0.300987,0.401406,1,0.595165
0.447,-0.594837,0,0.301388,0.40041,1,0.594837
0.448,-0.594509,0,0.301788,0.399416,1,0.594509
0.449,-0.594181,0,0.302187,0.398423,1,0.594181
0.45,-0.593853,0,0.302585,0.397431,1,0.593853
0.451,-0.593525,0,0.302982,0.396441,1,0.593525
0.452,-0.593196,0,0.303378,0.395451,1,0.593196
0.453,-0.592868,0,0.303773,0.394464,1,0.592868
0.454,-0.59254,0,0.304167,0.393477,1,0.59254
0.455,-0.592212,0,0.30456,0.392492,1,0.592212
0.456,-0.591884,0,0.304952,0.391508,1,0.591884
0.457,-0.591555,0,0.305343,0.390525,1,0.591555
0.458,-0.591227,0,0.305733,0.389544,1,0.591227
0.459,-0.590899,0,0.306122,0.388564,1,0.590899
0.46,-0.590571,0,0.30651,0.387586,1,0.590571
0.461,-0.590242,0,0.306897,0.386608,1,0.590242
0.462,-0.589914,0,0.307283,0.385632,1,0.589914
0.463,-0.589585,0,0.307668,0.384657,1,0.589585
0.464,-0.589257,0,0.308052,0.383684,1,0.589257
0.465,-0.588929,0,0.308436,0.382712,1,0.588929
0.466,-0.5886,0,0.308818,0.381741,1,0.5886
0.467,-0.588272,0,0.309199,0.380772,1,0.588272
0.468,-0.587943,0,0.309579,0.379803,1,0.587943
0.469,-0.587615,0,0.309959,0.378836,1,0.587615
0.47,-0.587286,0,0.310337,0.377871,1,0.587286
0.471,-0.586958,0,0.310714,0.376906,1,0.586958
0.472,-0.586629,0,0.311091,0.375943,1,0.586629
0.473,-0.5863,0,0.311466,0.374982,1,0.5863
0.474,-0.585972,0,0.311841,0.374021,1,0.585972
