time,theta,q,e,H
0.192,0.162338233918047,0.702323591416844,-0.676474786189422,1
0.193,0.163039868391182,0.700945635695048,-0.676167687063622,1
0.194,0.163740125750866,0.699569364257942,-0.675860443806338,1
0.195,0.164439007680613,0.698194775565863,-0.675553056973974,1
0.196,0.165136515862399,0.696821868080133,-0.675245527122114,1
0.197,0.165832651976663,0.695450640263057,-0.674937854805526,1
0.198,0.166527417702303,0.694081090577922,-0.674630040578158,1
0.199,0.167220814716684,0.692713217488999,-0.674322084993141,1
0.2,0.167912844695635,0.691347019461539,-0.674013988602791,1
0.201,0.16860350931345,0.689982494961779,-0.673705751958608,1
0.202,0.16929281024289,0.688619642456935,-0.67339737561128,1
0.203,0.169980749155184,0.687258460415206,-0.673088860110679,1
0.204,0.170667327720031,0.685898947305774,-0.672780206005865,1
0.205,0.171352547605597,0.6845411015988,-0.672471413845088,1
0.206,0.17203641047852,0.683184921765431,-0.672162484175784,1
0.207,0.17271891800391,0.68183040627779,-0.671853417544581,1
0.208,0.173400071845348,0.680477553608985,-0.6715442144973,1
0.209,0.174079873664892,0.679126362233104,-0.671234875578949,1
0.21,0.174758325123071,0.677776830625214,-0.670925401333733,1
0.211,0.17543542787889,0.676428957261366,-0.670615792305047,1
0.212,0.176111183589834,0.675082740618588,-0.670306049035482,1
0.213,0.176785593911861,0.673738179174891,-0.669996172066824,1
0.214,0.17745866049941,0.672395271409265,-0.669686161940056,1
0.215,0.178130385005398,0.671054015801679,-0.669376019195356,1
0.216,0.178800769081226,0.669714410833084,-0.6690657443721,1
0.217,0.179469814376772,0.668376454985408,-0.668755338008863,1
0.218,0.180137522540398,0.667040146741561,-0.66844480064342,1
0.219,0.180803895218951,0.665705484585431,-0.668134132812746,1
0.22,0.18146893405776,0.664372467001884,-0.667823335053016,1
0.221,0.182132640700641,0.663041092476766,-0.667512407899608,1
0.222,0.182795016789895,0.661711359496903,-0.667201351887102,1
0.223,0.183456063966312,0.660383266550096,-0.666890167549283,1
